Похибка апроксимації |f(x) - φ(x)| для m = 1..4
       x |        m=1 |        m=2 |        m=3 |        m=4
   5.504 |     8.4085 |     8.4380 |     7.3225 |     0.6243
   5.552 |     8.6346 |     8.6449 |     7.5170 |     0.3574
   5.600 |     8.8607 |     8.8518 |     7.7121 |     0.0866
   5.648 |     9.0867 |     9.0589 |     7.9077 |     0.1880
   5.696 |     9.3128 |     9.2662 |     8.1038 |     0.4662
   5.744 |     9.5389 |     9.4735 |     8.3005 |     0.7480
   5.792 |     9.7650 |     9.6810 |     8.4977 |     1.0333
   5.840 |     9.9911 |     9.8887 |     8.6955 |     1.3221
   5.887 |    10.2172 |    10.0964 |     8.8938 |     1.6142
   5.935 |    10.4432 |    10.3043 |     9.0926 |     1.9096
   5.983 |    10.6693 |    10.5123 |     9.2919 |     2.2082
   6.031 |    10.8329 |    10.6580 |     9.4292 |     2.4474
   6.079 |    10.9632 |    10.7705 |     9.5337 |     2.6563
   6.127 |    11.0934 |    10.8830 |     9.6388 |     2.8682
   6.175 |    11.2237 |    10.9958 |     9.7443 |     3.0830
   6.223 |    11.3539 |    11.1086 |     9.8503 |     3.3006
   6.271 |    11.4842 |    11.2216 |     9.9569 |     3.5210
   6.319 |    11.6144 |    11.3347 |    10.0640 |     3.7440
   6.367 |    11.7447 |    11.4480 |    10.1715 |     3.9696
   6.415 |    11.8749 |    11.5614 |    10.2795 |     4.1978
   6.462 |    12.0052 |    11.6749 |    10.3881 |     4.4284
   6.510 |    12.1354 |    11.7885 |    10.4971 |     4.6614
   6.558 |    12.2657 |    11.9023 |    10.6066 |     4.8967
   6.606 |    12.3959 |    12.0162 |    10.7166 |     5.1343
   6.654 |    12.5262 |    12.1303 |    10.8271 |     5.3740
   6.702 |    12.6564 |    12.2444 |    10.9381 |     5.6158
   6.750 |    12.7867 |    12.3587 |    11.0495 |     5.8597
   6.798 |    12.9169 |    12.4732 |    11.1614 |     6.1055
   6.846 |    13.0472 |    12.5878 |    11.2738 |     6.3533
   6.894 |    13.1774 |    12.7025 |    11.3866 |     6.6028
   6.942 |    13.3077 |    12.8173 |    11.4999 |     6.8542
   6.990 |    13.4379 |    12.9323 |    11.6137 |     7.1072
   7.037 |    13.4182 |    12.8974 |    11.5779 |     7.2118
